id,Song-Name,Artists,Genre,Album/Movie,User-Rating
1,Aankh Marey,"Kumar Sanu, Mika Singh, Neha Kakkar", Dance,Simmba,8.8
2,Coca Cola,"Neha Kakkar, Tony Kakkar", DanceRomantic,Luka Chuppi,9
3,Apna Time Aayega,Ranveer Singh, Dance,Gully Boy,9.7
4,Mungda,"Jyotica Tangri, Shaan, Subhro Ganguly", Dance,Total Dhamaal,9.1
5,Tere Bin,"Asees Kaur, Rahat Fateh Ali Khan, Tanishk Bagchi", Romantic,Simmba,9.2
6,Gali Gali,Neha Kakkar, Dance,KGF,9.1
7,Chamma Chamma,"Arun, Ikka, Neha Kakkar, Romy", Dance,Fraud Saiyaan,9.2
8,Mere Gully Mein,Ranveer Singh, Dance,Gully Boy,9.5
9,Kamariya,Darshan Raval, Dance,Mitron,9.2
10,Ek Ladki Ko Dekha Toh Aisa Laga,"Darshan Raval, Rochak Kohli", Romantic,Ek Ladki Ko Dekha Toh Aisa Laga,9.6
11,Swag Se Swagat,"Neha Bhasin, Vishal Dadlani", Dance,Tiger Zinda Hai,8.8
12,Poster Lagwa Do,"Mika Singh, Sunanda Sharma", Dance,Luka Chuppi,8.4
13,Daaru Wargi,Guru Randhawa, Dance,Cheat India,9.1
14,Dilbar,"Dhvani Bhanushali, Ikka, Neha Kakkar", Dance,Satyameva Jayate,9.2
15,Proper Patola,"Aastha Gill, Badshah, Diljit Dosanjh", Dance,Namaste England,9
16,Doori,Ranveer Singh, Dance,Gully Boy,9.7
17,Dil Diyan Gallan,Atif Aslam, Romantic,Tiger Zinda Hai,9.1
18,Husn Parcham,"Bhoomi Trivedi, Raja Kumari", Dance,Zero,9
19,Bom Diggy Diggy,"Jasmin Walia, Zack Knight", Dance,Sonu Ke Titu Ki Sweety,9
20,Issaqbaazi,"Divya Kumar, Sukhwinder Singh", Dance,Zero,9.1
21,Mere Naam Tu,Abhay Jodhpurkar, Romantic,Zero,9.2
22,High Rated Gabru – Nawabzaade,Guru Randhawa, Dance,Nawabzaade,9.2
23,Dekhte Dekhte,Atif Aslam, Romantic,Batti Gul Meter Chalu,9.5
24,Zingaat,"Ajay, Atul", Dance,Dhadak,8.6
25,Tareefan,Badshah, ,Veere Di Wedding,9.1
26,Mile Ho Tum (Reprise),"Neha Kakkar, Tony Kakkar", Romantic,Fever,9
27,Dil Chori,"Ishers, Simar Kaur, Yo Yo Honey Singh", Dance,Sonu Ke Titu Ki Sweety,9
28,Tere Naal Nachna,"Badshah, Sunanda Sharma", Dance,Nawabzaade,9.2
29,Dil Meri Na Sune,Atif Aslam, Romantic,Genius,9.5
30,Dhadak Title Track,"Ajay Gogavale, Shreya Ghoshal", Romantic,Dhadak,9.4
31,Heeriye,"Deep Money, Meet Bros, Neha Bhasin", DanceRomantic,Race 3,8.7
32,Chogada,"Asees Kaur, Darshan Raval", Dance,Loveratri,9.3
33,Gud Naal Ishq Mitha,"Harshdeep Kaur, Navraj Hans", Dance,Ek Ladki Ko Dekha Toh Aisa Laga,9.3
34,Paniyon Sa,"Atif Aslam, Tulsi Kumar", Romantic,Satyameva Jayate,9.5
35,Milegi Milegi,Mika Singh, Dance,Stree,9.1
36,Morni Banke,"Guru Randhawa, Neha Kakkar", Dance,Badhaai Ho,9
37,Bhare Bazaar,"B Praak, Badshah, Payal Dev, Vishal Dadlani", Dance,Namaste England,9
38,Khalibali,Shivam Pathak, Dance,Padmaavat,9.1
39,Aao Kabhi Haveli Pe,"Badshah, Jigar, Nikhita Gandhi, Sachin Sanghvi", Dance,Stree,8.4
40,Badri Ki Dulhania,"Dev Negi, Ikka, Monali Thakur, Neha Kakkar", Dance,Badrinath Ki Dulhania,8.4
41,Cheez Badi,"Neha Kakkar, Udit Narayan", Dance,Machine,8.8
42,Dholida,"Neha Kakkar, Palak Muchchal, Raja Hassan, Udit Narayan", Dance,Loveratri,9.2
43,Sweetheart,Dev Negi, Dance,Kedarnath,9.2
44,Namo Namo,Amit Trivedi, Devotional,Kedarnath,9.6
45,Qaafirana,"Arijit Singh, Nikhita Gandhi", Romantic,Kedarnath,9.6
46,Tu Hi Re,"Armaan Malik, Shashaa Tirupati", Dance,2,9
47,Chhote Chhote Peg,"Navraj Hans, Neha Kakkar, Yo Yo Honey Singh", Dance,Sonu Ke Titu Ki Sweety,9.1
48,Galti Se Mistake,"Amit Mishra, Arijit Singh", Dance,Jagga Jasoos,8.5
49,Phir Mulaaqat,Jubin Nautiyal, Romantic,Cheat India,9.5
50,Kala Chashma,"Amar Arshi, Badshah, Neha Kakkar", Dance,Baar Baar Dekho,8.5
51,Mantoiyat,Raftaar, ,Manto,9.7
52,Nashe Si Chadh Gayi,Arijit Singh, Dance,Befikre,8.9
53,Mera Pyar Tera Pyar,Arijit Singh, RomanticSad,Jalebi,9.6
54,Ding Dang,"Amit Mishra, Antara Mitra", Dance,Munna Michael,8.5
55,Main Tera Boyfriend,"Arijit Singh, Meet Bros, Neha Kakkar", Dance,Raabta,9.1
56,Laila Main Laila,Pawni Pandey, Dance,Raees,8.7
57,Ghoomar,"Shreya Ghoshal, Swaroop Khan", Dance,Padmaavat,8.6
58,Rafta Rafta Medley,"Akash Ojha, Disha Sharma, Jordi Patel, Rekha, Sonakshi Sinha, Vishal Mishra", Dance,Yamla Pagla Deewana Phir Se,9.3
59,Pal,"Arijit Singh, Shreya Ghoshal", Romantic,Jalebi,9.7
60,Patola,Guru Randhawa, Dance,Black Mail,8.9
61,Pallo Latke,"Fazilpuria, Jyotica Tangri, Yasser Desai", Dance,Shaadi Mein Zaroor Aana,9
62,Main Badhiya Tu Bhi Badhiya,"Sonu Nigam, Sunidhi Chauhan", ,Sanju,9
63,Billionaire,"Simar Kaur, Singhsta, Yo Yo Honey Singh", Dance,Baazaar,9.3
64,This Party Is Over Now,Yo Yo Honey Singh, Dance,Mitron,9.3
65,Heer Badnaam,Romy, DanceSad,Zero,9.1
66,Tera Hua,Atif Aslam, Romantic,Loveratri,9
67,Jaan Nisaar,Arijit Singh, Romantic,Kedarnath,9.7
68,Akh Lad Jaaye,"Asees Kaur, Badshah, Jubin Nautiyal", DanceRomantic,Loveratri,9.2
69,Rangtaari,"Dev Negi, Yo Yo Honey Singh", Dance,Loveratri,9.1
70,The Humma Song,"Badshah, Jubin Nautiyal, Shashaa Tirupati", Dance,Ok Jaanu,9
71,Pehli Baar,Ajay Gogavale, Romantic,Dhadak,8.9
72,Tera Yaar Hoon Main,Arijit Singh, RomanticSad,Sonu Ke Titu Ki Sweety,9.5
73,Dilbaro,"Harshdeep Kaur, Shankar Mahadevan, Vibha Saraf", ,Raazi,9.5
74,Chhod Diya,Arijit Singh, Sad,Baazaar,9.7
75,Maine Tujhko Dekha,"Neeraj Shridhar, Sukriti Kakar", Dance,Golmaal Again,9
76,Allah Duhai Hai,"Amit Mishra, Jonita Gandhi, Sreerama Chandra", Dance,Race 3,8.1
77,Cham Cham,Monali Thakur, Dance,Baaghi,8.1
78,Kar Har Maidaan Fateh,"Shreya Ghoshal, Sukhwinder Singh", Motivational,Sanju,9.5
79,Kamariya,"Aastha Gill, Divya Kumar, Jigar Saraiya, Sachin Sanghvi", Dance,Stree,9.1
80,Tamma Tamma Again,"Anuradha Paudwal, Badshah, Bappi Lahiri", Dance,Badrinath Ki Dulhania,8.6
81,Tera Fitoor,Arijit Singh, Romantic,Genius,9.4
82,Mere Rashke Qamar,"Nusrat Fateh Ali Khan, Rahat Fateh Ali Khan", Romantic,Baadshaho,9
83,The Breakup Song,"Arijit Singh, Badshah, Jonita Gandhi, Nakash Aziz", Dance,Ae Dil Hai Mushkil,9
84,Naino Ne Bandhi,Yasser Desai, Romantic,Gold,9.6
85,Sanu Ek Pal Chain,Rahat Fateh Ali Khan, Romantic,Raid,9.3
86,Ban Ja Rani,Guru Randhawa, DanceRomantic,Tumhari Sulu,9
87,Zaalima,"Arijit Singh, Harshdeep Kaur", DanceRomantic,Raees,9.2
88,Baarish,"Ash King, Shashaa Tirupati", Romantic,Half Girlfriend,9.3
89,Aashiq Banaya Aapne,"Himesh Reshammiya, Neha Kakkar", Dance,Hate Story 4,9.1
90,Ek Do Teen Song,Shreya Ghoshal, Dance,Baaghi 2,8.6
91,Tere Liye,"Akanksha Bhandari, Atif Aslam", Romantic,Namaste England,9.5
92,Nazam Nazam,"Arko, Ayushman Khurana", Romance,Bareilly Ki Barfi,9.5
93,Good Morning,"Shannon Donald, Vishal Dadlani", ,Ek Ladki Ko Dekha Toh Aisa Laga,9
94,O Saathi,"Atif Aslam, Payal Dev", Romantic,Baaghi 2,9.4
95,Tere Jaisa,"Arko, Tulsi Kumar", Romantic,Satyameva Jayate,9.2
96,Mera Intkam Dekhegi,Krishna Beuraa, Sad,Shaadi Mein Zaroor Aana,9.6
97,Gerua,"Antara Mitra, Arijit Singh", Romantic,Dilwale,9.3
98,Suraiyya,"Shreya Ghoshal, Vishal Dadlani", Dance,Thugs of Hindostan,7.7
